dataset,category,run,stroke_count,num_svg_strokes,num_disconnected_strokes,disconnected_stroke_ratio,disconnected_stroke_percentage,num_disconnected_endpoints,disconnected_endpoint_ratio,threshold,samples_per_curve,svg_path
SDXL_normal,elephant_0,normal_24_strokes,24,24,13,0.5416666666666666,54.166666666666664,19,0.3958333333333333,10.0,100,SDXL_normal/elephant_0/normal_24_strokes/final_svg.svg
SDXL_normal,elephant_0,normal_32_strokes,32,32,21,0.65625,65.625,25,0.390625,10.0,100,SDXL_normal/elephant_0/normal_32_strokes/final_svg.svg
SDXL_normal,elephant_2,normal_16_strokes,16,16,8,0.5,50.0,12,0.375,10.0,100,SDXL_normal/elephant_2/normal_16_strokes/final_svg.svg
SDXL_normal,elephant_2,normal_24_strokes,24,24,14,0.5833333333333334,58.333333333333336,15,0.3125,10.0,100,SDXL_normal/elephant_2/normal_24_strokes/final_svg.svg
SDXL_normal,elephant_2,normal_32_strokes,32,32,16,0.5,50.0,18,0.28125,10.0,100,SDXL_normal/elephant_2/normal_32_strokes/final_svg.svg
SDXL_normal,elephant_3,normal_16_strokes,16,16,7,0.4375,43.75,8,0.25,10.0,100,SDXL_normal/elephant_3/normal_16_strokes/final_svg.svg
SDXL_normal,elephant_3,normal_24_strokes,24,24,10,0.4166666666666667,41.66666666666667,13,0.2708333333333333,10.0,100,SDXL_normal/elephant_3/normal_24_strokes/final_svg.svg
SDXL_normal,elephant_3,normal_32_strokes,32,32,14,0.4375,43.75,18,0.28125,10.0,100,SDXL_normal/elephant_3/normal_32_strokes/final_svg.svg
SDXL_normal,elephant_4,normal_16_strokes,16,16,7,0.4375,43.75,8,0.25,10.0,100,SDXL_normal/elephant_4/normal_16_strokes/final_svg.svg
SDXL_normal,elephant_4,normal_24_strokes,24,24,15,0.625,62.5,17,0.3541666666666667,10.0,100,SDXL_normal/elephant_4/normal_24_strokes/final_svg.svg
SDXL_normal,elephant_4,normal_32_strokes,32,32,13,0.40625,40.625,17,0.265625,10.0,100,SDXL_normal/elephant_4/normal_32_strokes/final_svg.svg
SDXL_normal,elephant_5,normal_16_strokes,16,16,12,0.75,75.0,16,0.5,10.0,100,SDXL_normal/elephant_5/normal_16_strokes/final_svg.svg
SDXL_normal,elephant_5,normal_24_strokes,24,24,9,0.375,37.5,13,0.2708333333333333,10.0,100,SDXL_normal/elephant_5/normal_24_strokes/final_svg.svg
SDXL_normal,elephant_5,normal_32_strokes,32,32,16,0.5,50.0,20,0.3125,10.0,100,SDXL_normal/elephant_5/normal_32_strokes/final_svg.svg
SDXL_normal,fish_10,normal_16_strokes,16,16,14,0.875,87.5,18,0.5625,10.0,100,SDXL_normal/fish_10/normal_16_strokes/final_svg.svg
SDXL_normal,fish_10,normal_24_strokes,24,24,14,0.5833333333333334,58.333333333333336,19,0.3958333333333333,10.0,100,SDXL_normal/fish_10/normal_24_strokes/final_svg.svg
SDXL_normal,fish_10,normal_32_strokes,32,32,15,0.46875,46.875,18,0.28125,10.0,100,SDXL_normal/fish_10/normal_32_strokes/final_svg.svg
SDXL_normal,fish_12,normal_16_strokes,16,16,9,0.5625,56.25,12,0.375,10.0,100,SDXL_normal/fish_12/normal_16_strokes/final_svg.svg
SDXL_normal,fish_12,normal_24_strokes,24,24,9,0.375,37.5,12,0.25,10.0,100,SDXL_normal/fish_12/normal_24_strokes/final_svg.svg
SDXL_normal,fish_12,normal_32_strokes,32,32,14,0.4375,43.75,17,0.265625,10.0,100,SDXL_normal/fish_12/normal_32_strokes/final_svg.svg
SDXL_normal,fish_13,normal_16_strokes,16,16,11,0.6875,68.75,14,0.4375,10.0,100,SDXL_normal/fish_13/normal_16_strokes/final_svg.svg
SDXL_normal,fish_13,normal_24_strokes,24,24,10,0.4166666666666667,41.66666666666667,11,0.22916666666666666,10.0,100,SDXL_normal/fish_13/normal_24_strokes/final_svg.svg
SDXL_normal,fish_13,normal_32_strokes,32,32,11,0.34375,34.375,11,0.171875,10.0,100,SDXL_normal/fish_13/normal_32_strokes/final_svg.svg
