dataset,category,run,stroke_count,num_svg_strokes,num_disconnected_strokes,disconnected_stroke_ratio,disconnected_stroke_percentage,num_disconnected_endpoints,disconnected_endpoint_ratio,threshold,samples_per_curve,svg_path
SDXL_normal,elephant_0,normal_24_strokes,24,24,7,0.2916666666666667,29.166666666666668,8,0.16666666666666666,30.0,100,SDXL_normal/elephant_0/normal_24_strokes/final_svg.svg
SDXL_normal,elephant_0,normal_32_strokes,32,32,7,0.21875,21.875,8,0.125,30.0,100,SDXL_normal/elephant_0/normal_32_strokes/final_svg.svg
SDXL_normal,elephant_2,normal_16_strokes,16,16,3,0.1875,18.75,4,0.125,30.0,100,SDXL_normal/elephant_2/normal_16_strokes/final_svg.svg
SDXL_normal,elephant_2,normal_24_strokes,24,24,5,0.20833333333333334,20.833333333333336,5,0.10416666666666667,30.0,100,SDXL_normal/elephant_2/normal_24_strokes/final_svg.svg
SDXL_normal,elephant_2,normal_32_strokes,32,32,5,0.15625,15.625,5,0.078125,30.0,100,SDXL_normal/elephant_2/normal_32_strokes/final_svg.svg
SDXL_normal,elephant_3,normal_16_strokes,16,16,0,0.0,0.0,0,0.0,30.0,100,SDXL_normal/elephant_3/normal_16_strokes/final_svg.svg
SDXL_normal,elephant_3,normal_24_strokes,24,24,3,0.125,12.5,3,0.0625,30.0,100,SDXL_normal/elephant_3/normal_24_strokes/final_svg.svg
SDXL_normal,elephant_3,normal_32_strokes,32,32,2,0.0625,6.25,3,0.046875,30.0,100,SDXL_normal/elephant_3/normal_32_strokes/final_svg.svg
SDXL_normal,elephant_4,normal_16_strokes,16,16,0,0.0,0.0,0,0.0,30.0,100,SDXL_normal/elephant_4/normal_16_strokes/final_svg.svg
SDXL_normal,elephant_4,normal_24_strokes,24,24,3,0.125,12.5,3,0.0625,30.0,100,SDXL_normal/elephant_4/normal_24_strokes/final_svg.svg
SDXL_normal,elephant_4,normal_32_strokes,32,32,5,0.15625,15.625,6,0.09375,30.0,100,SDXL_normal/elephant_4/normal_32_strokes/final_svg.svg
SDXL_normal,elephant_5,normal_16_strokes,16,16,1,0.0625,6.25,1,0.03125,30.0,100,SDXL_normal/elephant_5/normal_16_strokes/final_svg.svg
SDXL_normal,elephant_5,normal_24_strokes,24,24,4,0.16666666666666666,16.666666666666664,4,0.08333333333333333,30.0,100,SDXL_normal/elephant_5/normal_24_strokes/final_svg.svg
SDXL_normal,elephant_5,normal_32_strokes,32,32,5,0.15625,15.625,6,0.09375,30.0,100,SDXL_normal/elephant_5/normal_32_strokes/final_svg.svg
